db_type,db,DATABASE TYPE,HIVE/IMPALA DATA TYPES,width,scale,Flag
ERWIN,string,HIVE-IMPALA,string,,,N
ERWIN,urowid,HIVE-IMPALA,urowid --Not Found,,,N
ERWIN,varchar,HIVE-IMPALA,varchar,65535,,Y
ERWIN,varchar2,HIVE-IMPALA,varchar,65535,,Y
ERWIN,boolean,HIVE-IMPALA,boolean,,,N
ERWIN,record,HIVE-IMPALA,record --Not Found,,,N
ERWIN,table,HIVE-IMPALA,table --Not Found,,,N
ERWIN,varray,HIVE-IMPALA,varray --Not Found,,,N
ERWIN,ref cursor,HIVE-IMPALA,ref cursor --Not Found,,,N
ERWIN,ref object_type,HIVE-IMPALA,ref object_type --Not Found,,,N
ERWIN,bfile,HIVE-IMPALA,bfile --Not Found,,,N
ERWIN,blob,HIVE-IMPALA,blob,,,N
ERWIN,clob,HIVE-IMPALA,clob,,,N
ERWIN,nclob,HIVE-IMPALA,nclob --Not Found,,,N
ERWIN,date,HIVE,date,,,N
ERWIN,date,IMPALA,timestamp,,,N
ERWIN,interval day to second,HIVE-IMPALA,interval day to second --Not Found,,,N
ERWIN,interval year to month,HIVE-IMPALA,interval year to month --Not Found,,,N
ERWIN,timestamp,HIVE-IMPALA,timestamp,,,N
ERWIN,timestamp with local timezone,HIVE-IMPALA,timestamp with local timezone --Not Found,,,N
ERWIN,timestamp with timezone,HIVE-IMPALA,timestamp with timezone --Not Found,,,N
ERWIN,longblob,HIVE-IMPALA,blob,,,N
ERWIN,mediumtext,HIVE-IMPALA,string,,,N
ERWIN,datetime,HIVE-IMPALA,timestamp,,,N
ERWIN,bit,HIVE-IMPALA,int,,,N
ERWIN,double,HIVE-IMPALA,decimal,38,18,Y
ERWIN,bigint,HIVE-IMPALA,bigint,,,N
ERWIN,text,HIVE-IMPALA,string,,,N
